Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"AMST 101 C 
4 cr 
CRN 10862","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",William Rogers,09:10 AM - 11:40 AM M,SEM 116,15,13,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 K 
4 cr 
CRN 10001","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Clifford Evans,01:15 PM - 02:30 PM TR,BC 201,16,16,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 K1 
4 cr 
CRN 10894","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Allan Nadler,01:15 PM - 02:30 PM TR,BC 103,18,15,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ANTH 103 H 
4 cr 
CRN 10052","Human Evolution: Biological Anthropology and Archaeology
CLA-Breadth/Natural Science",Stephan Naji-Hussain,"11:50 AM - 01:05 PM TR
 12:30 PM - 03:30 PM R - Final Exam","LC 28
 LC 28 - Final Exam",60,58,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 104 Z 
4 cr 
CRN 10054","Cultural Diversity: Introduction to Cultural Anthropology and Linguistics
CLA-Breadth/Social Science
CLA-Diversity International",Allan Dawson,"02:40 PM - 03:55 PM TR
 07:30 PM - 10:30 PM R - Final Exam","LC 28
 LC 28 - Final Exam",60,60,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 201 F 
4 cr 
CRN 10063",History of Anthropological Theory,Allan Dawson,"10:25 AM - 11:40 AM TR
 12:30 PM - 03:30 PM T - Final Exam","BC 217
 BC 217 - Final Exam",30,13,17,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 202 T 
4 cr 
CRN 10056","Ecological Anthropology
CLA-Breadth/Interdisciplinary
CLA-Diversity International",Marc Boglioli,"02:40 PM - 03:55 PM WF
 07:30 PM - 10:30 PM W - Final Exam","BC 218
 BC 218 - Final Exam",30,11,19,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 203H S 
4 cr 
CRN 10651","HONORS: Cultures, Economies, and Globalization
CLA-Baldwin Honors",Marc Boglioli,"07:00 PM - 09:30 PM R
 07:30 PM - 10:30 PM F - Final Exam","BC 217
 BC 217 - Final Exam",30,11,19,0,"Pre-reqs: ANTH 104 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 311 G 
4 cr 
CRN 10699","Archaeological Method and Theory
CLA-Quantitative
CLA-Writing in the Major",Carl Savage,"11:50 AM - 01:05 PM WF
 12:30 PM - 03:30 PM W - Final Exam","ARTS 105
 ARTS 105 - Final Exam",16,11,5,0,"Pre-reqs: (ANTH 103 OR ANTH 3X ) AND (ANTH 230 OR ANTH 12X ) 
Co-Reqs: ANTH 311L 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
