Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"AMST 101 G 
4 cr 
CRN 30892","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Catherine Keyser,11:50 AM - 01:05 PM MW,BC 202,15,11,4,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"AMST 101 K 
4 cr 
CRN 30891","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Frances Bernstein,01:15 PM - 02:30 PM TR,BC 203,15,16,-1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ANTH 103 D 
4 cr 
CRN 30128","Human Evolution: Biological Anthropology and Archaeology
CLA-Breadth/Natural Science",Mary Klabacha,09:00 AM - 10:15 AM TR,HSC S244,40,40,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 103 H 
4 cr 
CRN 30857","Human Evolution: Biological Anthropology and Archaeology
CLA-Breadth/Natural Science",Mary Klabacha,11:50 AM - 01:05 PM TR,HSC S244,30,29,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 104 J 
4 cr 
CRN 30131","Cultural Diversity: Introduction to Cultural Anthropology and Linguistics
CLA-Breadth/Social Science
CLA-Diversity International",Marc Boglioli,01:15 PM - 02:30 PM WF,HSC S4,40,32,8,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 232 H 
4 cr 
CRN 30799",Regional Archaeology: Archaeology of Greece and Rome,John Muccigrosso,11:50 AM - 01:05 PM TR,BC 218,35,15,20,0,"Pre-reqs: (ANTH 103 OR ANTH 3X ) OR (ANTH 104 OR ANTH 4X ) 
Co-Reqs: 
Cross Listed: CLAS 240 - H 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 232 JT 
4 cr 
CRN 30679",Topics in Regional Archaeology: Archaeological Perspectives on the Bible and Its Cultures,Carl Savage,01:15 PM - 04:00 PM R,SEM 210,15,5,10,0,"Pre-reqs: (ANTH 103 OR ANTH 3X ) OR (ANTH 104 OR ANTH 4X ) 
Co-Reqs: 
Cross Listed: BBST 668 - KZ 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X1 
4 cr 
CRN 30790",Climate Induced Inter-Ethnic Conflict in the Sahel Region of Africa,Allan Dawson,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 301 MS 
4 cr 
CRN 30136","Medical Anthropology
CLA-Breadth/Social Science",Paul Kadetz,04:30 PM - 07:00 PM R,BC 117,15,14,1,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: MDSM 830 - M 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 302 H 
4 cr 
CRN 30140","Anthropology of Religion
CLA-Breadth/Social Science",Allan Dawson,11:50 AM - 01:05 PM TR,BC 202,15,9,6,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
