Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"AMST 101 J 
4 cr 
CRN 30625","American Pop Culture
CLA-Breadth/Humanities
CLA-Diversity US",Clifford Evans,"01:15 PM - 02:30 PM MW
 04:00 PM - 07:00 PM F - Final Exam","HSC S142
 HSC S3A - Final Exam",15,16,-1,2,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ANTH 103 H 
4 cr 
CRN 30113","Human Evolution: Biological ANthropology and Archaeology
CLA-Breadth/Natural Science",Linda Van Blerkom,"11:50 AM - 01:05 PM TR
 12:30 PM - 03:30 PM T - Final Exam","HSC S244
 HSC S244 - Final Exam",60,57,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: AP 
Part of Term: Full Term 
Final Exam: Y"
"ANTH 104 Z 
4 cr 
CRN 30128","Cultural Diversity: Cultural Anthropology and Linguistics
CLA-Breadth/Social Science
CLA-Diversity International",Allan Dawson,"02:40 PM - 03:55 PM TR
 07:30 PM - 10:30 PM R - Final Exam","LC 28
 LC 28 - Final Exam",50,40,10,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ANTH 206 K 
2 cr 
CRN 30118","Topics in Cultural Anthropology: The Anthropology of Death
CLA-Breadth/Social Science",Mary Klabacha,"01:15 PM - 02:30 PM TR
 04:00 PM - 07:00 PM R - Final Exam","BC 20
 BC 20 - Final Exam",20,7,13,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ANTH 206 K 
4 cr 
CRN 30118","Topics in Cultural Anthropology: The Anthropology of Death
CLA-Breadth/Social Science",Mary Klabacha,"01:15 PM - 02:30 PM TR
 04:00 PM - 07:00 PM R - Final Exam","BC 20
 BC 20 - Final Exam",20,7,13,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ANTH 230 J 
4 cr 
CRN 30116","Ancient Societies
CLA-Breadth/Interdisciplinary
CLA-Breadth/Social Science",Mary Klabacha,"01:15 PM - 02:30 PM MW
 04:00 PM - 07:00 PM F - Final Exam","SEM 205
 SEM 205 - Final Exam",30,18,12,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ANTH 300 X1 
1 cr 
CRN 30936",Medical Anthropology,Linda Van Blerkom,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 300 X3 
1 cr 
CRN 30838",Independent Study: Medical Anthropology,Linda Van Blerkom,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 304 P 
4 cr 
CRN 30130","The Anthropology of Peace & Conflict: World Wisdom for Conflict Resolution
CLA-Breadth/Social Science",Jonathan Golden,"07:00 PM - 09:30 PM M
 12:30 PM - 03:30 PM S - Final Exam","BC 101
 BC 101 - Final Exam",30,9,21,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ANTH 310 F 
4 cr 
CRN 30109","Ethnographic Research Methods
CLA-Writing in the Major",Allan Dawson,"10:25 AM - 11:40 AM TR
 12:30 PM - 03:30 PM R - Final Exam","BC 202
 BC 202 - Final Exam",20,6,14,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ANTH 322 E 
4 cr 
CRN 30652","Primatology
CLA-Breadth/Social Science",Tammy Windfelder,"10:25 AM - 11:40 AM MWF
 12:30 PM - 03:30 PM F - Final Exam","HSC S308
 HSC S308 - Final Exam",30,31,-1,1,"Pre-reqs: (ANTH 3X OR ANTH 103 ) OR (BIOL 150 OR BIOL 7X ) OR (BIOL 160 OR BIOL 9X ) 
Co-Reqs: 
Cross Listed: BIOL 322 - E 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 326 G 
4 cr 
CRN 30111",Evolution and Human Behavior,Linda Van Blerkom,"11:50 AM - 01:05 PM MW
 12:30 PM - 03:30 PM M - Final Exam","BC 101
 BC 101 - Final Exam",25,19,6,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ANTH 331 F 
4 cr 
CRN 30669","Archaeology and Sustainable Culture
CLA-Breadth/Interdisciplinary
CLA-Breadth/Social Science
CLA-Quantitative",Mary Klabacha,"10:25 AM - 11:40 AM TR
 12:30 PM - 03:30 PM R - Final Exam","SEM 109
 SEM 109 - Final Exam",30,15,15,0,"Pre-reqs: (ANTH 103 OR ANTH 3X ) OR (ANTH 104 OR ANTH 4X ) 
Co-Reqs: 
Cross Listed: ESS 331 - F 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 332 T 
4 cr 
CRN 30121","Wildlife and Culture
CLA-Breadth/Social Science
CLA-Diversity International",Marc Boglioli,"02:40 PM - 03:55 PM WF
 07:30 PM - 10:30 PM F - Final Exam","SEM 109
 SEM 109 - Final Exam",30,23,7,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ESS 332 - T 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ANTH 400 S 
4 cr 
CRN 30134","Senior Seminar in Anthropology
CLA-Capstone",Marc Boglioli,"07:00 PM - 09:30 PM R
 08:30 AM - 11:30 AM S - Final Exam","BC 101
 BC 101 - Final Exam",30,12,18,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ANTH 411 X1 
4 cr 
CRN 30772","Spec Hon II: The Black Death:Exploring the Differential Impact of Yersenia Pestis Based on Socioeco
CLA-Capstone
CLA-Writing Intensive",Mary Klabacha,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ANTH 411 X2 
4 cr 
CRN 30783","Spec Hon II: Macho Dilemmas: Machismo & Masculine Identities Within the Latino Dispora (3 studies)
CLA-Capstone
CLA-Writing Intensive",Marc Boglioli,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ARBC 102 E 
4 cr 
CRN 30665",Elementary Modern Standard Arabic II,Huda Shanawani,"10:25 AM - 11:40 AM MWF
 12:30 PM - 03:30 PM F - Final Exam","SEM 215
 SEM 215 - Final Exam",12,3,9,0,"Pre-reqs: ARBC 101 (MAY BE TAKEN CONCURRENTLY) 
Co-Reqs: ARBC 104 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 104 D 
2 cr 
CRN 30667",Arabic Conversation II,Housam Kotob,"09:10 AM - 10:15 AM TR
 08:30 AM - 11:30 AM T - Final Exam","SEM 116
 SEM 116 - Final Exam",12,3,9,0,"Pre-reqs: 
Co-Reqs: ARBC 102 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 202 C 
4 cr 
CRN 30666","Intermediate Modern Standard Arabic II
CLA-Foreign Language",Huda Shanawani,"09:10 AM - 10:15 AM MWF
 08:30 AM - 11:30 AM M - Final Exam","SEM 215
 SEM 215 - Final Exam",12,7,5,0,"Pre-reqs: ARBC 201 OR ARBC 30X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 300 X 
2 cr 
CRN 30898","Ind. Study: Arabic
CLA-Foreign Language",Christopher Taylor,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ART 104 GJ 
4 cr 
CRN 30009","Light, Color & Design
CLA-Breadth/Arts",Jason Karolak,"12:30 PM - 02:30 PM MW
 12:30 PM - 03:30 PM M - Final Exam","ARTS 3
 ARTS 3 - Final Exam",18,9,9,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 104 GJ 
4 cr 
CRN 30009","Two-Dimensional Design
CLA-Breadth/Arts",Jason Karolak,"12:30 PM - 02:30 PM MW
 12:30 PM - 03:30 PM M - Final Exam","ARTS 3
 ARTS 3 - Final Exam",18,9,9,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 105 HK 
4 cr 
CRN 30010","Sculpture I
CLA-Breadth/Arts",Raymond Stein,"11:50 AM - 01:50 PM TR
 12:30 PM - 03:30 PM T - Final Exam","ARTS 8
 ARTS 8 - Final Exam",12,10,2,2,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 205 - HK; ART 305 - HK 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
