,Itemset,Itemset Support,Rule Antecedent,Rule Confidence,Rule Consequent,Rule Lift,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
0,"frozenset({'William Mutter', 'ARTS 7'})",0.00715166461159063,frozenset({'William Mutter'}),0.90625,frozenset({'ARTS 7'}),126.71875,0.0,0.0,0.0,0.0,262.0,,,,,,,,,,,,,,
1,"frozenset({'William Mutter', 'ART', 'ARTS 7'})",0.00715166461159063,"frozenset({'William Mutter', 'ART'})",0.90625,frozenset({'ARTS 7'}),126.71875,1.0,1.0,1.0,1.0,280.0,,,,,,,,,,,,,,
2,"frozenset({'William Mutter', 'ART', 'ARTS 7', '0'})",0.005674808783617074,"frozenset({'William Mutter', 'ART', '0'})",0.8214285714285715,frozenset({'ARTS 7'}),123.30555555555556,2.0,404.0,,,,,,,,,,,,,,,,,
3,"frozenset({'William Mutter', '16', 'ARTS 7'})",0.006139489194499017,"frozenset({'William Mutter', '16'})",0.8333333333333333,frozenset({'ARTS 7'}),125.679012345679,3.0,2.0,447.0,,,,,,,,,,,,,,,,
4,"frozenset({'William Mutter', '16', 'ARTS 7', '0'})",0.005157170923379175,"frozenset({'William Mutter', '16', '0'})",0.8076923076923077,frozenset({'ARTS 7'}),121.8119658119658,681.0,,,,,,,,,,,,,,,,,,
5,"frozenset({'William Mutter', 'ARTS 7', '0'})",0.005674808783617074,"frozenset({'William Mutter', '0'})",0.8214285714285715,frozenset({'ARTS 7'}),123.30555555555556,4.0,325.0,,,,,,,,,,,,,,,,,
6,"frozenset({'WRTG', 'BC 18'})",0.009823182711198428,frozenset({'WRTG'}),0.3539823008849557,frozenset({'BC 18'}),18.017699115044245,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,67.0,,,,,,,,,
7,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'WRTG', 'BC 18'})",0.009334315892901008,"frozenset({'WRTG', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.33333333333333337,frozenset({'BC 18'}),19.11267605633803,6.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,101.0,,,,,,,,,,
8,"frozenset({'WRTG', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'BC 18', '0'})",0.009334315892901008,"frozenset({'WRTG', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0'})",0.33628318584070804,frozenset({'BC 18'}),19.281814782500312,7.0,5.0,4.0,4.0,2.0,2.0,160.0,,,,,,,,,,,,
9,"frozenset({'BC 18', 'WRTG', '0'})",0.009823182711198428,"frozenset({'WRTG', '0'})",0.35714285714285715,frozenset({'BC 18'}),18.17857142857143,8.0,6.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,66.0,,,,,,,,,
10,"frozenset({'Trevor Weston', 'MUS 111'})",0.005911330049261084,frozenset({'Trevor Weston'}),0.6486486486486487,frozenset({'MUS 111'}),37.0917396269509,9.0,7.0,422.0,,,,,,,,,,,,,,,,
11,"frozenset({'Trevor Weston', 'MUS', 'MUS 111'})",0.00541871921182266,"frozenset({'Trevor Weston', 'MUS'})",0.6285714285714286,frozenset({'MUS 111'}),35.943661971830984,10.0,535.0,,,,,,,,,,,,,,,,,
12,"frozenset({'Trevor Weston', 'MUS', 'MUS 111', '0'})",0.00541871921182266,"frozenset({'Trevor Weston', 'MUS', '0'})",0.6285714285714286,frozenset({'MUS 111'}),35.943661971830984,11.0,538.0,,,,,,,,,,,,,,,,,
13,"frozenset({'Trevor Weston', 'MUS 111', '0'})",0.005911330049261084,"frozenset({'Trevor Weston', '0'})",0.6486486486486487,frozenset({'MUS 111'}),37.0917396269509,12.0,8.0,427.0,,,,,,,,,,,,,,,,
14,"frozenset({'MEA 11', 'Thomas Magnell'})",0.004935834155972359,frozenset({'Thomas Magnell'}),0.6666666666666666,frozenset({'MEA 11'}),108.05333333333333,639.0,,,,,,,,,,,,,,,,,,
15,"frozenset({'MEA 11', 'Thomas Magnell', 'PHIL'})",0.004935834155972359,"frozenset({'Thomas Magnell', 'PHIL'})",0.6666666666666666,frozenset({'MEA 11'}),108.05333333333333,663.0,,,,,,,,,,,,,,,,,,
16,"frozenset({'MEA 11', 'Thomas Magnell', 'PHIL', '0'})",0.004935834155972359,"frozenset({'Thomas Magnell', 'PHIL', '0'})",0.6666666666666666,frozenset({'MEA 11'}),108.05333333333333,683.0,,,,,,,,,,,,,,,,,,
17,"frozenset({'MEA 11', 'Thomas Magnell', '0'})",0.004935834155972359,"frozenset({'Thomas Magnell', '0'})",0.6666666666666666,frozenset({'MEA 11'}),108.05333333333333,658.0,,,,,,,,,,,,,,,,,,
18,"frozenset({'ARTS 137', 'THEA'})",0.017799752781211372,frozenset({'THEA'}),0.2647058823529412,frozenset({'ARTS 137'}),13.5536113179449,13.0,9.0,6.0,6.0,4.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
19,"frozenset({'THEA', 'ARTS 137', 'James Bazewicz'})",0.007120058924625583,"frozenset({'THEA', 'James Bazewicz'})",0.7073170731707317,frozenset({'ARTS 137'}),41.75220926122305,14.0,10.0,7.0,7.0,345.0,,,,,,,,,,,,,,
