,Itemset,Itemset Support,Rule Antecedent,Rule Consequent,Rule Confidence,Rule Lift
0,"frozenset({'ARTS 206', 'ART', '16', '0'})",0.007365578197888534,"frozenset({'ART', '16', '0'})",frozenset({'ARTS 206'}),0.4166666666666667,45.86711711711712
1,"frozenset({'HSC S3B', '14', '0', 'PSYC'})",0.008384710234278668,"frozenset({'14', '0', 'PSYC'})",frozenset({'HSC S3B'}),0.7391304347826085,59.943478260869554
2,"frozenset({'2', '18', 'COM PRES'})",0.008405438813349814,"frozenset({'2', '18'})",frozenset({'COM PRES'}),0.22666666666666666,15.030601092896173
3,"frozenset({'18', 'EAP', 'COM PRES'})",0.014833127317676144,"frozenset({'18', 'EAP'})",frozenset({'COM PRES'}),0.7692307692307692,51.00882723833543
4,"frozenset({'Jennifer Ostrega', '18', 'COM PRES'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', '18'})",frozenset({'COM PRES'}),0.8666666666666667,57.46994535519126
5,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '18', 'COM PRES'})",0.009394313967861558,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '18'})",frozenset({'COM PRES'}),0.2111111111111111,13.999089253187613
6,"frozenset({'2', 'EAP', 'COM PRES'})",0.008405438813349814,"frozenset({'2', 'EAP'})",frozenset({'COM PRES'}),0.6666666666666666,44.20765027322404
7,"frozenset({'BIOL', '20', 'HSC S129'})",0.00935960591133005,"frozenset({'BIOL', '20'})",frozenset({'HSC S129'}),0.5507246376811594,54.53517143867091
8,"frozenset({'HSC S129', '20', 'Paris Scarano'})",0.00935960591133005,"frozenset({'20', 'Paris Scarano'})",frozenset({'HSC S129'}),1.0,99.02439024390243
9,"frozenset({'HSC S3A', '24', 'PSYC'})",0.011576354679802956,"frozenset({'24', 'PSYC'})",frozenset({'HSC S3A'}),0.8245614035087719,36.78812415654521
10,"frozenset({'ARTS 102', 'ART', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.007895386133728102,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ART'})",frozenset({'ARTS 102'}),0.3368421052631579,35.92686980609418
11,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ARTH', 'ARTS 106'})",0.009825595676737903,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ARTH'})",frozenset({'ARTS 106'}),0.851063829787234,42.77383766745469
12,"frozenset({'BIOL', 'Paris Scarano', 'HSC S129'})",0.0103831891223733,"frozenset({'BIOL', 'Paris Scarano'})",frozenset({'HSC S129'}),1.0,96.30952380952381
13,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP', 'COM PRES'})",0.009147095179233622,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP'})",frozenset({'COM PRES'}),0.49333333333333335,32.71366120218579
14,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS', 'MUS 101'})",0.008374384236453201,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS'})",frozenset({'MUS 101'}),0.3736263736263736,39.91902834008096
15,"frozenset({'16', '18', '0', 'COM PRES'})",0.008405438813349814,"frozenset({'16', '18', '0'})",frozenset({'COM PRES'}),0.29565217391304344,19.605131860299355
16,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP', '0', 'COM PRES'})",0.009147095179233622,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'EAP', '0'})",frozenset({'COM PRES'}),0.49333333333333335,32.71366120218579
17,"frozenset({'2', '16', '0', 'COM PRES'})",0.008405438813349814,"frozenset({'2', '16', '0'})",frozenset({'COM PRES'}),0.2151898734177215,14.269557999584974
18,"frozenset({'HSC S211', 'CHEM', '16', '0'})",0.013503560029462312,"frozenset({'CHEM', '16', '0'})",frozenset({'HSC S211'}),0.5612244897959183,41.56122448979592
19,"frozenset({'18', 'EAP', 'Jennifer Ostrega', 'COM PRES', '0'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', '18', 'EAP', '0'})",frozenset({'COM PRES'}),0.8666666666666667,57.46994535519126
20,"frozenset({'16', 'EAP', '0', 'COM PRES'})",0.008405438813349814,"frozenset({'16', 'EAP', '0'})",frozenset({'COM PRES'}),0.24113475177304966,15.990001162655506
21,"frozenset({'2', '18', '0', 'COM PRES'})",0.008405438813349814,"frozenset({'2', '18', '0'})",frozenset({'COM PRES'}),0.22972972972972971,15.233717323881256
22,"frozenset({'18', 'EAP', '0', 'COM PRES'})",0.014833127317676144,"frozenset({'18', 'EAP', '0'})",frozenset({'COM PRES'}),0.7692307692307692,51.00882723833543
23,"frozenset({'Jennifer Ostrega', '18', '0', 'COM PRES'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', '18', '0'})",frozenset({'COM PRES'}),0.8666666666666667,57.46994535519126
24,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '18', '0', 'COM PRES'})",0.009394313967861558,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '18', '0'})",frozenset({'COM PRES'}),0.21348314606741575,14.15638239086388
25,"frozenset({'2', 'EAP', '0', 'COM PRES'})",0.008405438813349814,"frozenset({'2', 'EAP', '0'})",frozenset({'COM PRES'}),0.6666666666666666,44.20765027322404
26,"frozenset({'HSC S3A', '24', '0', 'PSYC'})",0.010591133004926109,"frozenset({'24', '0', 'PSYC'})",frozenset({'HSC S3A'}),0.826923076923077,36.89349112426036
27,"frozenset({'ARTS 102', 'ART', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0'})",0.0076486553170490995,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ART', '0'})",frozenset({'ARTS 102'}),0.34444444444444444,36.737719298245615
28,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ARTH', 'ARTS 106', '0'})",0.009579955784819455,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'ARTH', '0'})",frozenset({'ARTS 106'}),0.8478260869565218,42.61111111111112
29,"frozenset({'BIOL', 'Paris Scarano', '0', 'HSC S129'})",0.009823182711198428,"frozenset({'BIOL', 'Paris Scarano', '0'})",frozenset({'HSC S129'}),1.0,99.3170731707317
30,"frozenset({'16', 'EAP', 'COM PRES'})",0.008405438813349814,"frozenset({'16', 'EAP'})",frozenset({'COM PRES'}),0.23943661971830982,15.87739552066497
31,"frozenset({'HSC S211', 'CHEM', '16'})",0.013503560029462312,"frozenset({'CHEM', '16'})",frozenset({'HSC S211'}),0.5555555555555555,41.14141414141414
32,"frozenset({'2', '16', 'COM PRES'})",0.008405438813349814,"frozenset({'2', '16'})",frozenset({'COM PRES'}),0.2085889570552147,13.83184149653022
33,"frozenset({'16', '18', 'COM PRES'})",0.008405438813349814,"frozenset({'16', '18'})",frozenset({'COM PRES'}),0.2905982905982906,19.270001401148942
34,"frozenset({'ARTH', 'ARTS 106'})",0.012330456226880395,frozenset({'ARTH'}),frozenset({'ARTS 106'}),0.78125,41.142451298701296
35,"frozenset({'ARTS 137', 'THEA'})",0.017799752781211372,frozenset({'THEA'}),frozenset({'ARTS 137'}),0.2647058823529412,13.553611317944899
36,"frozenset({'BC 103', 'SPAN'})",0.008877928483353885,frozenset({'SPAN'}),frozenset({'BC 103'}),0.21818181818181817,8.191919191919192
37,"frozenset({'BC 117', 'BST'})",0.008384710234278668,frozenset({'BST'}),frozenset({'BC 117'}),0.5396825396825397,17.64848950332821
38,"frozenset({'ECON', 'BC 117'})",0.012577065351418002,frozenset({'ECON'}),frozenset({'BC 117'}),0.3669064748201439,11.998433511255511
39,"frozenset({'BC 18', 'WRTG'})",0.009823182711198428,frozenset({'WRTG'}),frozenset({'BC 18'}),0.35398230088495575,18.01769911504425
40,"frozenset({'CSCI', 'BC 21'})",0.00883869383746624,frozenset({'CSCI'}),frozenset({'BC 21'}),0.5217391304347826,28.71680376028202
41,"frozenset({'CHEM', 'HSC S211'})",0.013503560029462312,frozenset({'CHEM'}),frozenset({'HSC S211'}),0.25700934579439255,19.032710280373834
42,"frozenset({'DANC', 'SIMN DNCE'})",0.009622501850481125,frozenset({'DANC'}),frozenset({'SIMN DNCE'}),0.8125,74.84232954545455
43,"frozenset({'HSC S129', 'Paris Scarano'})",0.0103831891223733,frozenset({'Paris Scarano'}),frozenset({'HSC S129'}),1.0,96.30952380952381
44,"frozenset({'PHYS', 'HSC S208'})",0.009131293188548864,frozenset({'PHYS'}),frozenset({'HSC S208'}),0.38144329896907214,41.77319587628866
45,"frozenset({'HSC S3A', 'PSYC'})",0.019491734517641253,frozenset({'PSYC'}),frozenset({'HSC S3A'}),0.434065934065934,19.122491638795985
46,"frozenset({'MUS', 'MUS 111'})",0.015782983970406905,frozenset({'MUS'}),frozenset({'MUS 111'}),0.4129032258064516,23.582008178100864
47,"frozenset({'HSC S3A', '24', '0'})",0.011330049261083743,"frozenset({'24', '0'})",frozenset({'HSC S3A'}),0.3357664233576642,14.98034811903425
48,"frozenset({'ARTH', 'ARTS 106', '0'})",0.012083847102342787,"frozenset({'ARTH', '0'})",frozenset({'ARTS 106'}),0.7777777777777778,40.95959595959596
49,"frozenset({'ARTS 137', '0', 'THEA'})",0.017058096415327566,"frozenset({'0', 'THEA'})",frozenset({'ARTS 137'}),0.26335877862595425,13.484636196733987
50,"frozenset({'BC 103', 'SPAN', '0'})",0.008631319358816275,"frozenset({'SPAN', '0'})",frozenset({'BC 103'}),0.21874999999999997,8.213252314814815
51,"frozenset({'ECON', 'BC 117', '0'})",0.009124537607891493,"frozenset({'ECON', '0'})",frozenset({'BC 117'}),0.3394495412844037,11.100547499260136
52,"frozenset({'BC 18', 'WRTG', '0'})",0.009823182711198428,"frozenset({'WRTG', '0'})",frozenset({'BC 18'}),0.35714285714285715,18.17857142857143
53,"frozenset({'CSCI', 'BC 21', '0'})",0.00883869383746624,"frozenset({'CSCI', '0'})",frozenset({'BC 21'}),0.5217391304347826,28.71680376028202
54,"frozenset({'CHEM', 'HSC S211', '0'})",0.013503560029462312,"frozenset({'CHEM', '0'})",frozenset({'HSC S211'}),0.26190476190476186,19.395238095238092
55,"frozenset({'DANC', '0', 'SIMN DNCE'})",0.009622501850481125,"frozenset({'DANC', '0'})",frozenset({'SIMN DNCE'}),0.8297872340425532,76.43471953578337
56,"frozenset({'HSC S129', 'Paris Scarano', '0'})",0.009823182711198428,"frozenset({'Paris Scarano', '0'})",frozenset({'HSC S129'}),1.0,99.3170731707317
57,"frozenset({'PHYS', '0', 'HSC S208'})",0.009131293188548864,"frozenset({'PHYS', '0'})",frozenset({'HSC S208'}),0.38541666666666663,42.20833333333333
58,"frozenset({'HSC S3A', '0', 'PSYC'})",0.017517887984209227,"frozenset({'0', 'PSYC'})",frozenset({'HSC S3A'}),0.41764705882352937,18.399168797953962
59,"frozenset({'MUS', 'MUS 111', '0'})",0.015782983970406905,"frozenset({'MUS', '0'})",frozenset({'MUS 111'}),0.4129032258064516,23.582008178100864
60,"frozenset({'14', 'HSC S3B', 'PSYC'})",0.008384710234278668,"frozenset({'14', 'PSYC'})",frozenset({'HSC S3B'}),0.7391304347826085,59.943478260869554
61,"frozenset({'ARTS 206', 'ART', '16'})",0.007856616744414437,"frozenset({'ART', '16'})",frozenset({'ARTS 206'}),0.4155844155844156,45.747981747981754
62,"frozenset({'Jennifer Ostrega', 'EAP', '0', 'COM PRES'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', 'EAP', '0'})",frozenset({'COM PRES'}),0.609375,40.408555327868854
63,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS', 'MUS 101', '0'})",0.008374384236453201,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'MUS', '0'})",frozenset({'MUS 101'}),0.3736263736263736,39.91902834008096
64,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', 'HSC S211', '0'})",0.007650542941757157,"frozenset({'CHEM', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
65,"frozenset({'WRTG', 'BC 18', '12', 'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0'})",0.007860476541390321,"frozenset({'Pre-reqs: \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '12', 'WRTG', '0'})",frozenset({'BC 18'}),0.4324324324324324,24.79482299200609
66,"frozenset({'16', 'Principles of Chemistry I Lab', 'CHEM', 'HSC S211', '0'})",0.007897334649555774,"frozenset({'Principles of Chemistry I Lab', 'CHEM', '16', '0'})",frozenset({'HSC S211'}),0.9411764705882353,71.95560488346281
67,"frozenset({'HSC S3A', 'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.007403751233958539,frozenset({'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'}),frozenset({'HSC S3A'}),0.8333333333333334,37.51851851851852
68,"frozenset({'Jennifer Ostrega', '0', 'COM PRES'})",0.009641532756489494,"frozenset({'Jennifer Ostrega', '0'})",frozenset({'COM PRES'}),0.609375,40.408555327868854
69,"frozenset({'16', 'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', 'HSC S211', '0'})",0.007650542941757157,"frozenset({'16', 'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', '0'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
70,"frozenset({'EAP', '0', 'COM PRES'})",0.014833127317676144,"frozenset({'EAP', '0'})",frozenset({'COM PRES'}),0.2830188679245283,18.767398700896997
71,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', 'HSC S211', '0'})",0.007650542941757157,"frozenset({'Principles of Chemistry I Lab', 'CHEM', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
72,"frozenset({'16', 'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'HSC S211', '0'})",0.007650542941757157,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16', '0'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
73,"frozenset({'14', 'PHYS', 'HSC S208'})",0.008144126357354392,"frozenset({'14', 'PHYS'})",frozenset({'HSC S208'}),0.7857142857142857,86.04633204633205
74,"frozenset({'HSC S211', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16'})",0.007650542941757157,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
75,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', 'HSC S211'})",0.007650542941757157,"frozenset({'CHEM', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
76,"frozenset({'HSC S3A', 'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'PSYC'})",0.007403751233958539,"frozenset({'Pre-reqs: PSYC 101 OR PSYC 3X \nCo-Reqs: \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'PSYC'})",frozenset({'HSC S3A'}),0.8333333333333334,37.51851851851852
77,"frozenset({'14', 'PHYS', '0', 'HSC S208'})",0.008144126357354392,"frozenset({'14', 'PHYS', '0'})",frozenset({'HSC S208'}),0.7857142857142857,86.04633204633205
78,"frozenset({'HSC S211', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16', '0'})",0.007650542941757157,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16', '0'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
79,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'HSC S211', '0'})",0.007650542941757157,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '0'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
80,"frozenset({'2', '16', '18', 'COM PRES'})",0.008405438813349814,"frozenset({'2', '16', '18'})",frozenset({'COM PRES'}),0.3366336633663366,22.32267489043986
81,"frozenset({'HSC S211', 'CHEM', '16', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",0.007650542941757157,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', '16'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
82,"frozenset({'HSC S211', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16', 'Principles of Chemistry I Lab'})",0.007650542941757157,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', '16'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
83,"frozenset({'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'CHEM', 'HSC S211', 'Principles of Chemistry I Lab'})",0.007650542941757157,"frozenset({'Principles of Chemistry I Lab', 'CHEM', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
84,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:', 'HSC S211'})",0.007650542941757157,"frozenset({'Principles of Chemistry I Lab', 'Pre-reqs: \nCo-Reqs: CHEM 150 \nCross Listed: \nApproval Type: \nPart of Term: Full Term \nFinal Exam:'})",frozenset({'HSC S211'}),0.9393939393939394,71.81932532875929
